slug,image_path,is_primary
zyn-spearmint-slim-s3,zyn/zyn-spearmint-slim-s3_3_YcUqHDAhwcEbSB0CJZrHEAJ4qeLBdF9rf45uZ4SZ.webp,False
zyn-gentle-mint-slim-s2,zyn/zyn-gentle-mint-slim-s2_1_Mc6DIgaARZYqtcz56iR2yLIE49DzzRhuU0JJUOV8.webp,True
zyn-gentle-mint-slim-s2,zyn/zyn-gentle-mint-slim-s2_2_Mc6DIgaARZYqtcz56iR2yLIE49DzzRhuU0JJUOV8.webp,False
zyn-gentle-mint-slim-s2,zyn/zyn-gentle-mint-slim-s2_3_uexfhi7YwVAWJeo49ouScOt8zOyExgGCYEhp17II.webp,False
zyn-red-fruits-slim-s3,zyn/zyn-red-fruits-slim-s3_1_9TaqfwBbGzCXiySLHxV2jZolke9GRlt4yOUHRvsF.webp,True
zyn-red-fruits-slim-s3,zyn/zyn-red-fruits-slim-s3_2_9TaqfwBbGzCXiySLHxV2jZolke9GRlt4yOUHRvsF.webp,False
zyn-red-fruits-slim-s3,zyn/zyn-red-fruits-slim-s3_3_YiorUk3mFIXLt8WWdibKuBg5KsudD4tbEcJEn1jh.webp,False
zyn-black-licorice-mini-s2,zyn/zyn-black-licorice-mini-s2_1_jVFNdptBZyzklaC3MuonBsMHMZG8RiaRosGcdr9p.webp,True
zyn-black-licorice-mini-s2,zyn/zyn-black-licorice-mini-s2_2_jVFNdptBZyzklaC3MuonBsMHMZG8RiaRosGcdr9p.webp,False
zyn-black-licorice-mini-s2,zyn/zyn-black-licorice-mini-s2_3_GamyHqrciz3EhuuKRSuAAKZQyW0NDjXxc6B8VAnh.webp,False
zyn-apple-mint-mini-s2,zyn/zyn-apple-mint-mini-s2_1_iDwPURzezFvifWIfDMKhqtxIkXRCAfLPvlzjvWDL.webp,True
zyn-apple-mint-mini-s2,zyn/zyn-apple-mint-mini-s2_2_iDwPURzezFvifWIfDMKhqtxIkXRCAfLPvlzjvWDL.webp,False
zyn-apple-mint-mini-s2,zyn/zyn-apple-mint-mini-s2_3_EczLQyKNal7swpUaiUhG4126EZigqqKuHsWQtOV5.webp,False
zyn-spearmint-mini-s2,zyn/zyn-spearmint-mini-s2_1_916Cr6L3WwcOf1aCCxfsrS2QgCzJcAhzk9dQBUB8.webp,True
zyn-spearmint-mini-s2,zyn/zyn-spearmint-mini-s2_2_916Cr6L3WwcOf1aCCxfsrS2QgCzJcAhzk9dQBUB8.webp,False
zyn-spearmint-mini-s2,zyn/zyn-spearmint-mini-s2_3_3ArqPPRLEcadkkbFvxGb8EAHYtykJvMps2LJBRhX.webp,False
zyn-citrus-mini-s2,zyn/zyn-citrus-mini-s2_1_4ClqKJQkFBvU7SudO28tW74evxhMhvFDvGMuTXaG.webp,True
zyn-citrus-mini-s2,zyn/zyn-citrus-mini-s2_2_4ClqKJQkFBvU7SudO28tW74evxhMhvFDvGMuTXaG.webp,False
zyn-citrus-mini-s2,zyn/zyn-citrus-mini-s2_3_EJBcyscpIMJ32q8Qg26QG0xpVTURUbUuKbDKUAPU.webp,False
zyn-black-cherry-mini-s4,zyn/zyn-black-cherry-mini-s4_1_ltYi7olNY0hbVFlbJwPSMShphPYfQfedCSQu8ltY.webp,True
zyn-black-cherry-mini-s4,zyn/zyn-black-cherry-mini-s4_2_ltYi7olNY0hbVFlbJwPSMShphPYfQfedCSQu8ltY.webp,False
zyn-black-cherry-mini-s4,zyn/zyn-black-cherry-mini-s4_3_wBks6oByhph26cO4d0d1uEqf4e97B56NlxblBxUa.webp,False
zyn-black-cherry-mini-s2,zyn/zyn-black-cherry-mini-s2_1_X1cXB4UP18IRrtvoi6hzE8mQxGLB5NMFNmcBEq4Y.webp,True
zyn-black-cherry-mini-s2,zyn/zyn-black-cherry-mini-s2_2_X1cXB4UP18IRrtvoi6hzE8mQxGLB5NMFNmcBEq4Y.webp,False
zyn-black-cherry-mini-s2,zyn/zyn-black-cherry-mini-s2_3_dfZ6GybMI0w6ZzEpm3ZFjjEPjIk4H0z5FjinSK4P.webp,False
zyn-black-cherry-mini-s2,zyn/zyn-black-cherry-mini-s2_4_Ir3roybfGK7wLxiBlvXwmytpYEESgFVZ9vpaWv1b.webp,False
maggie-mr-blue-60mg,maggie/maggie-mr-blue-60mg_1_xnXoHzK6l0IO5VA0ZxaBS22gYjvs6Mw644ePvL34.webp,True
maggie-sweet-plantain-60mg,maggie/maggie-sweet-plantain-60mg_1_Zybzv8c1mNojNrIMuaj5uui8BChSJvEInA106zJ7.webp,True
maggie-grape-soda-60mg,maggie/maggie-grape-soda-60mg_1_4R9fmTEAMJt9MWUg5pSwupRR0epZhKw0ANQBN0xP.webp,True
maggie-lite-grape-soda,maggie/maggie-lite-grape-soda_1_3jHQAeAkcXZa27x0WfpPKJF2GRs8EVzJDeFRWhtx.webp,True
maggie-lite-sweet-plantain,maggie/maggie-lite-sweet-plantain_1_1XJPw23cDfCfLhGn2LPvkgPes1CmooZicaDymuld.webp,True
apres-tangerine-spritz-hyper-strong,apres/apres-tangerine-spritz-hyper-strong_1_0uHEHz5XrpEyPYnxDsjv3XAQQ20RSnIOPDDngp6L.webp,True
apres-cactus-lime-hyper-strong,apres/apres-cactus-lime-hyper-strong_1_0bUqrOIIBkxVcvYNEuAcCer7EuFUxoz3w9ktsZrm.webp,True
apres-ice-tea-peach-hyper-strong,apres/apres-ice-tea-peach-hyper-strong_1_4pZUo6zV2NbYWyzW8tP6eO71a7dJVZTCZdJMQkVa.webp,True
apres-cola-hyper-strong,apres/apres-cola-hyper-strong_1_LjXSsPzonwuaiAB8dOZYChobDsYKCAiFOmXvHQQZ.webp,True
apres-lemon-curd-hyper-strong,apres/apres-lemon-curd-hyper-strong_1_Ov0efrKBRHZ7ro4xTnwrQ5lyXqZNK9G7fMbU2gDX.webp,True
